ID,Alias,DistributionType,EstateType,EstateSubType,NumberOfRooms,NumberOfBedrooms,Price,Feature,OpenedLevels,IsWhiteLabelOnly,CustomUrl,GeminiIconName,RedirectContextId,RedirectActivated
58640,buy:agricultureforestry,Buy,Agriculture_Forestry,,,,,,200|300|400|500|600|800|900|1000,,,,,
45430,buy:agricultureforestry:farmranch,Buy,Agriculture_Forestry,Farm_Ranch,,,,,200|300|400|500|600|800|900,,,,,
31816,buy:agricultureforestry:forestry,Buy,Agriculture_Forestry,Forestry,,,,,200|300|400|500|600|800|900,,,,,
92072,buy:agricultureforestry:riding,Buy,Agriculture_Forestry,Riding,,,,,200|300|400|500|600|800|900,,,,,
97990,buy:agricultureforestry:winery,Buy,Agriculture_Forestry,Winery,,,,,200|300|400|500|600|800|900,,,,,
74434,buy:apartment,Buy,Apartment,,,,,,200:2026-01-31|300:2026-01-31|400:2026-01-31|500:2026-01-31|600:2026-01-31|800:2026-01-31|900:2026-01-31|1000:2026-01-31,,,BuildingIcon,,
72243,buy:apartment:balcony,Buy,Apartment,,,,,Balcony,200|300|400|500|600|800|900|1000,,,BalconyIcon,,
84527,buy:apartment:cellar,Buy,Apartment,,,,,Cellar,200|300|400|500|600|800|900|1000,,,,,
35382,buy:apartment:cheap,Buy,Apartment,,,,,Cheap,400,,,,,
23871,buy:apartment:commissionfree,Buy,Apartment,,,,,Commission_Free,200|300|400|500|600|800|900,,,,,
47114,buy:apartment:garden,Buy,Apartment,,,,,Garden,200:2026-01-31|300:2026-01-31|400:2026-01-31|500:2026-01-31|600:2026-01-31|800:2026-01-31|900:2026-01-31,,,,,
31942,buy:apartment:groundflooronly,Buy,Apartment,,,,,Ground_Floor_Only,200|300|400|500|600|800|900|1000,,,,,
69083,buy:apartment:inoldbuilding,Buy,Apartment,,,,,In_Old_Building,200|300|400|500|600|800|900,,,,,
49766,buy:apartment:newbuild,Buy,Apartment,,,,,New_Build,200:2026-01-31|300:2026-01-31|400:2026-01-31|500:2026-01-31|600:2026-01-31|800:2026-01-31|900:2026-01-31|1000:2026-01-31,,,ConstructionSiteHelmetIcon,,
42649,buy:apartment:parkinggarage,Buy,Apartment,,,,,Parking_Garage,200:2026-01-31|300:2026-01-31|400:2026-01-31|500:2026-01-31|600:2026-01-31|800:2026-01-31|900:2026-01-31,,,,,
64472,buy:apartment:privateseller,Buy,Apartment,,,,,Private_Seller,200|300|400|500|600|800|900|1000,,,HouseUserIcon,,
92930,buy:apartment:reducedmobilityaccess,Buy,Apartment,,,,,Reduced_Mobility_Access,200|300|400|500|600|800|900|1000,,,,,
59408,buy:apartment:roofstoreyonly,Buy,Apartment,,,,,Roof_Storey_Only,200|300|400|500|600|800|900|1000,,,,,
49002,buy:apartment:torenovate,Buy,Apartment,,,,,To_Renovate,200|300|400|500|600|800|900,,,,,
18293,buy:apartment:investment,Buy,Apartment,,,,,Investment,200:2026-11-15|400:2026-11-15|600:2026-11-15|800:2026-11-15|900:2026-11-15|1000:2026-11-15,,,,,
65710,buy:apartment:rooms-1,Buy,Apartment,,1,,,,200|300|400|500|600|800|900|1000,,,OneIcon,,
41195,buy:apartment:rooms-2,Buy,Apartment,,2,,,,200|300|400|500|600|800|900|1000,,,TwoIcon,,
52401,buy:apartment:rooms-3,Buy,Apartment,,3,,,,200|300|400|500|600|800|900|1000,,,ThreeIcon,,
12127,buy:apartment:rooms-4,Buy,Apartment,,4,,,,200|300|400|500|600|800|900|1000,,,,,
34301,buy:apartment:rooms-5,Buy,Apartment,,5,,,,200|300|400|500|600|800|900|1000,,,,,
24867,buy:apartment:loft,Buy,Apartment,Loft,,,,,200|300|400|500|600|800|900|1000,,,,,
57439,buy:apartment:multistorey,Buy,Apartment,Multi_Storey,,,,,200|300|400|500|600|800|900|1000,,,,,
14952,buy:apartment:penthouse,Buy,Apartment,Penthouse,,,,,200|300|400|500|600|800|900|1000,,,,,
23717,buy:apartment:terrace,Buy,Apartment,Terrace,,,,,200|300|400|500|600|800|900|1000,,,BalconyIcon,,
32209,buy:empty,Buy,Empty,,,,,,200:2026-01-31|300:2026-01-31|400:2026-01-31|500:2026-01-31|600:2026-01-31|800:2026-01-31|900:2026-01-31|1000:2026-01-31,,,,,
72262,buy:empty:garden,Buy,Empty,,,,,Garden,200|300|400|500|600|800|900|1000,,,,,
56225,buy:empty:investment,Buy,Empty,,,,,Investment,200|300|400|500|600|800|900|1000,,,ChartLineUpIcon,,
91834,buy:empty:newbuild,Buy,Empty,,,,,New_Build,200:2026-01-31|300:2026-01-31|400:2026-01-31|500:2026-01-31|600:2026-01-31|800:2026-01-31|900:2026-01-31|1000:2026-01-31,,,HouseBuildingIcon,,
36247,buy:empty:privateseller,Buy,Empty,,,,,Private_Seller,200|300|400|500|600|800|900|1000,,,,,
32385,buy:gastronomyhotel,Buy,Gastronomy_Hotel,,,,,,200|300|400|500|600|800|900|1000,,,,,
70930,buy:gastronomyhotel:cafebarpub,Buy,Gastronomy_Hotel,Cafe_Bar_Pub,,,,,200|300|400|500|600|800|900,,,,,
78538,buy:gastronomyhotel:hotel,Buy,Gastronomy_Hotel,Hotel,,,,,200|300|400|500|600|800|900|1000,,,,,
79419,buy:gastronomyhotel:restaurant,Buy,Gastronomy_Hotel,Restaurant,,,,,200|300|400|500|600|800|900|1000,,,,,
