ID,Alias,DistributionType,EstateType,EstateSubType,NumberOfRooms,NumberOfBedrooms,Price,Feature,OpenedLevels,IsWhiteLabelOnly,CustomUrl,GeminiIconName,RedirectContextId,RedirectActivated
47811,buy:agricultureforestry,Buy,Agriculture_Forestry,,,,,,200|400|600|800|900,true,,,,
98346,buy:agricultureforestry:farmranch,Buy,Agriculture_Forestry,Farm_Ranch,,,,,200|400|600|800|900,true,,,,
76264,buy:agricultureforestry:forestry,Buy,Agriculture_Forestry,Forestry,,,,,200|400|600|800|900,true,,,,
88135,buy:agricultureforestry:riding,Buy,Agriculture_Forestry,Riding,,,,,200|400|600|800|900,true,,,,
78746,buy:agricultureforestry:winery,Buy,Agriculture_Forestry,Winery,,,,,200|400|600|800|900,true,,,,
53434,buy:apartment,Buy,Apartment,,,,,,200|400|600|800|900|1000:2026-03-15|1100:2026-03-15,,,,,
18062,buy:apartment:cellar,Buy,Apartment,,,,,Cellar,200|400|600|800|900,,,,,
54282,buy:apartment:cheap,Buy,Apartment,,,,,Cheap,200|400|600|800|900,,,,,
87249,buy:apartment:elevator,Buy,Apartment,,,,,Elevator,200|400|600|800|900,true,,,,
45075,buy:apartment:garden,Buy,Apartment,,,,,Garden,200|400|600|800|900,,,,,
16877,buy:apartment:groundflooronly,Buy,Apartment,,,,,Ground_Floor_Only,200|400|600|800|900,true,,,,
53688,buy:apartment:investment,Buy,Apartment,,,,,Investment,200:2026-06-01|400:2026-06-01|600:2026-06-01|800:2026-06-01|900:2026-06-01,true,,,,
48870,buy:apartment:lifeannuity,Buy,Apartment,,,,,Life_Annuity,200|400|600|800|900,true,,,,
16887,buy:apartment:luxury,Buy,Apartment,,,,,Luxury,200|400|600|800|900,true,,,,
61905,buy:apartment:newbuild,Buy,Apartment,,,,,New_Build,200|400|600|800|900,,,,,
65227,buy:apartment:parkinggarage,Buy,Apartment,,,,,Parking_Garage,200|400|600|800|900,,,,,
91383,buy:apartment:reducedmobilityaccess,Buy,Apartment,,,,,Reduced_Mobility_Access,200|400|600|800|900,true,,,,
25739,buy:apartment:roofstoreyonly,Buy,Apartment,,,,,Roof_Storey_Only,200|400|600|800|900,true,,,,
16282,buy:apartment:seaside,Buy,Apartment,,,,,SeaSide,200|400|600|800|900,,,,,
57172,buy:apartment:swimmingpool,Buy,Apartment,,,,,Swimming_Pool,200|400|600|800|900,,,,,
17240,buy:apartment:terrace,Buy,Apartment,,,,,Terrace,200|400|600|800|900,,,,,
98669,buy:apartment:torenovate,Buy,Apartment,,,,,To_Renovate,200|400|600|800|900,,,,,
67357,buy:apartment:bedrooms-1,Buy,Apartment,,,1,,,200|400|600|800|900,,,,,
42585,buy:apartment:bedrooms-2,Buy,Apartment,,,2,,,200|400|600|800|900,,,,,
11999,buy:apartment:bedrooms-3,Buy,Apartment,,,3,,,200|400|600|800|900,,,,,
11243,buy:apartment:bedrooms-4,Buy,Apartment,,,4,,,200|400|600|800|900,,,,,
78535,buy:apartment:bedrooms-5,Buy,Apartment,,,5,,,200|400|600|800|900,,,,,
39097,buy:apartment:rooms-1,Buy,Apartment,,1,,,,200|400|600|800|900|1000:2026-03-15|1100:2026-03-15,,,,,
58269,buy:apartment:rooms-1:balcony,Buy,Apartment,,1,,,Balcony,200|400|600|800|900,true,,,,
63050,buy:apartment:rooms-1:cheap,Buy,Apartment,,1,,,Cheap,200|400|600|800|900,,,,,
29071,buy:apartment:rooms-1:newbuild,Buy,Apartment,,1,,,New_Build,200|400|600|800|900,,,,,
40180,buy:apartment:rooms-1:torenovate,Buy,Apartment,,1,,,To_Renovate,200|400|600|800|900,,,,,
46164,buy:apartment:rooms-2,Buy,Apartment,,2,,,,200|400|600|800|900,,,,,
86617,buy:apartment:rooms-2:cheap,Buy,Apartment,,2,,,Cheap,200|400|600|800|900,,,,,
92064,buy:apartment:rooms-2:terrace,Buy,Apartment,,2,,,Terrace,200|400|600|800|900,,,,,
75457,buy:apartment:rooms-2:torenovate,Buy,Apartment,,2,,,To_Renovate,200|400|600|800|900,,,,,
56137,buy:apartment:rooms-3,Buy,Apartment,,3,,,,200|400|600|800|900,,,,,
35712,buy:apartment:rooms-3:cheap,Buy,Apartment,,3,,,Cheap,200|400|600|800|900,,,,,
79558,buy:apartment:rooms-3:terrace,Buy,Apartment,,3,,,Terrace,200|400|600|800|900,,,,,
56396,buy:apartment:rooms-3:torenovate,Buy,Apartment,,3,,,To_Renovate,200|400|600|800|900,,,,,
22863,buy:apartment:rooms-4,Buy,Apartment,,4,,,,200|400|600|800|900,,,,,
75323,buy:apartment:rooms-5,Buy,Apartment,,5,,,,200|400|600|800|900,,,,,
49184,buy:apartment:loft,Buy,Apartment,Loft,,,,,200|400|600|800|900,,,,,
62009,buy:apartment:loft:torenovate,Buy,Apartment,Loft,,,,To_Renovate,200|400|600|800|900,,,,,
81926,buy:apartment:multistorey,Buy,Apartment,Multi_Storey,,,,,200|400|600|800|900,true,,,,
88376,buy:building,Buy,Building,,,,,,200|400|600|800|900,,,,,
68864,buy:building:torenovate,Buy,Building,,,,,To_Renovate,200|400|600|800|900,,,,,
