"ContextId","Alias","GeoLevel","LocationAvivGeoId","LocationName","LocationSlug","ExampleUrl","WhiteLabelUrl"
"53434","buy:apartment","Region","AD04FR5","Ile-de-France","ile-de-france-1_0","https://www.logic-immo.com/appartement-ile-de-france/vente-appartement-ile-de-france-1_0.html","https://www.logic-immo.com/recherche-immo/vente/appartement/ile-de-france/ad04fr5"
"53434","buy:apartment","Province","AD06FR76","Paris (75)","paris-75-100_1","https://www.logic-immo.com/appartement-paris/vente-appartement-paris-75-100_1.html","https://www.logic-immo.com/recherche-immo/vente/appartement/ile-de-france/paris-75/ad06fr76"
"53434","buy:apartment","Borough","AD09FR43","Paris 18ème arrondissement (75018)","paris-18e-75018-23597_2","https://www.logic-immo.com/appartement-paris-18e/vente-appartement-paris-18e-75018-23597_2.html","https://www.logic-immo.com/recherche-immo/vente/appartement/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"18062","buy:apartment:cellar","Region","AD04FR5","Ile-de-France","ile-de-france-1_0","https://www.logic-immo.com/appartement-ile-de-france/vente-appartement-ile-de-france/appartement-avec-cave-ile-de-france-1_0.html","https://www.logic-immo.com/recherche-immo/vente/appartement/cave/ile-de-france/ad04fr5"
"18062","buy:apartment:cellar","Province","AD06FR76","Paris (75)","paris-75-100_1","https://www.logic-immo.com/appartement-paris/vente-appartement-paris/appartement-avec-cave-paris-75-100_1.html","https://www.logic-immo.com/recherche-immo/vente/appartement/cave/ile-de-france/paris-75/ad06fr76"
"18062","buy:apartment:cellar","Borough","AD09FR43","Paris 18ème arrondissement (75018)","paris-18e-75018-23597_2","https://www.logic-immo.com/appartement-paris-18e/vente-appartement-paris-18e/appartement-avec-cave-paris-18e-75018-23597_2.html","https://www.logic-immo.com/recherche-immo/vente/appartement/cave/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"54282","buy:apartment:cheap","Region","AD04FR5","Ile-de-France","ile-de-france-1_0","https://www.logic-immo.com/appartement-ile-de-france/vente-appartement-ile-de-france/appartement-pas-cher-ile-de-france-1_0.html","https://www.logic-immo.com/recherche-immo/vente/appartement/pas-cher/ile-de-france/ad04fr5"
"54282","buy:apartment:cheap","Province","AD06FR76","Paris (75)","paris-75-100_1","https://www.logic-immo.com/appartement-paris/vente-appartement-paris/appartement-pas-cher-paris-75-100_1.html","https://www.logic-immo.com/recherche-immo/vente/appartement/pas-cher/ile-de-france/paris-75/ad06fr76"
"54282","buy:apartment:cheap","Borough","AD09FR43","Paris 18ème arrondissement (75018)","paris-18e-75018-23597_2","https://www.logic-immo.com/appartement-paris-18e/vente-appartement-paris-18e/appartement-pas-cher-paris-18e-75018-23597_2.html","https://www.logic-immo.com/recherche-immo/vente/appartement/pas-cher/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"87249","buy:apartment:elevator","Region","AD04FR5","Ile-de-France","ile-de-france-1_0","https://www.logic-immo.com/appartement-ile-de-france/vente-appartement-ile-de-france-1_0.html","https://www.logic-immo.com/recherche-immo/vente/appartement/ascenseur/ile-de-france/ad04fr5"
