ID;DistributionTypes;EstateTypes;EstateSubTypes;ClassifiedBusiness;NumberOfRoomsMin;NumberOfRoomsMax;NumberOfBedroomsMin;NumberOfBedroomsMax;PriceMin;PriceMax;YearOfConstructionMin;YearOfConstructionMax;CertificateOfEligibilityNeeded;IsSaleGoodwill;FeaturesIncluded;BuildStates;LocationsInBuildingIncluded;LocationsInBuildingExcluded;Furnished;ProjectTypes;HiddenProjectTypes;EnergyCertificateClass;PagingOrder
29638;Buy;Trading;Store;;;;;;;;;;;;;;;;;;;;DateDesc
81545;Buy;;;;;;;;;;;;;;;;;;;New_Build;;;DateDesc
15097;Rent;Apartment;Penthouse;;;;;;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
66518;Rent;House;;;;;2;2;;;;;;;;;;;;;;;DateDesc
30094;Rent;Apartment;;;;;1;1;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
88985;Buy;House;;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;PriceAsc
35712;Buy;Apartment;;;3;3;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;PriceAsc
74451;Rent;Apartment;;;;;;;;;;;;;Parking_Garage;;;;;;"Flatsharing,Stock";;DateDesc
46164;Buy;Apartment;;;2;2;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
46980;Rent;Apartment;;;;;;;;;;;;;Swimming_Pool;;;;;;"Flatsharing,Stock";;DateDesc
95719;Buy;;;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
12590;Buy;House;Town_House;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
39097;Buy;Apartment;;;1;1;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
58269;Buy;Apartment;;;1;1;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
77715;Buy;House;;;2;2;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
83064;Rent;Apartment;;;;;;;;;;;;;Reduce_Mobility_Access;;;;;;"Flatsharing,Stock";;DateDesc
81918;Rent;Gastronomy_Hotel;"Hotel,Apart_Hotel";;;;;;;;;;;;;;;;;;;;DateDesc
72667;Buy;House;Chalet;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;PriceAsc
15233;Rent;Apartment;;;;;;;;;;;;;Balcony_Terrace;;;;;;"Flatsharing,Stock";;DateDesc
44477;Rent;House;;;;;;;;;;;;;;;;;;;;;PriceAsc
25128;Rent;House;;;;;;;;;;;;;;;;;Full;;;;DateDesc
88135;Buy;Agriculture_Forestry;Riding;;;;;;;;;;;;;;;;;;;;DateDesc
16877;Buy;Apartment;;;;;;;;;;;;;;;Groundfloor;;;;"New_Build,Resale,Life_Annuity";;DateDesc
29441;Buy;Gastronomy_Hotel;;;;;;;;;;;;;;;;;;;;;DateDesc
75763;Rent;House;;;;;;;;;;;;;Balcony_Terrace;;;;;;;;DateDesc
16439;Buy;Gastronomy_Hotel;"Hotel,Apart_Hotel";;;;;;;;;;;;;;;;;;;;DateDesc
42293;Rent;Apartment;"Loft,Loft_Atelier";;;;;;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
18235;Buy;House;Farmhouse;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
90570;Rent;Apartment;;;;;;;;;;;;;Cellar;;;;;;"Flatsharing,Stock";;DateDesc
39002;Rent;Parking;;;;;;;;;;;;;;;;;;;;;DateDesc
92613;Rent;Apartment;;;;;5;5;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
43874;Rent;Apartment;;;1;1;;;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
17163;Buy;House;House_To_Build_With_Plot;;;;;;;;;;;;;;;;;;Projected;;DateDesc
41665;Rent;House;;;;;;;;;;;;;Garden;;;;;;;;DateDesc
47030;Buy;House;Castle;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
21835;Buy;House;;;;;;;;;;;;;Parking_Garage;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
65275;Buy;Trading;Boutique;;;;;;;;;;;;;;;;;;;;DateDesc
29973;Buy;House;;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
11243;Buy;Apartment;;;;;4;4;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
10014;Buy;Gastronomy_Hotel;Restaurant;;;;;;;;;;;;;;;;;;;;DateDesc
53688;Buy;Apartment;;;;;;;;;;;;;;;;;;"New_Build,Life_Annuity";;;DateDesc
28756;Rent;Office;;;;;;;;;;;;;;;;;;;;;DateDesc
83873;Buy;House;;;;;1;1;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
69317;Buy;House;;;;;;;;;;;;;Seaside;;;;;;"New_Build,Projected,Resale,Life_Annuity";;NumberOfRoomsAsc
23071;Buy;House;Mansion;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
12895;Rent;Apartment;Multi_Storey;;;;;;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
22914;Buy;House;;;;;;;;;;;;;;;;;;New_Build;;;DateDesc
47957;Rent;House;;;2;2;;;;;;;;;;;;;;;;;DateDesc
81323;Rent;Apartment;;;1;1;;;;;;;;;;;;;;;"Flatsharing,Stock";;PriceAsc
33590;Buy;House;;;;;2;2;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
75323;Buy;Apartment;;;5;5;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
43379;Buy;"House,Apartment";;;;;;;;;;;;;;;;;;Life_Annuity;;;DateDesc
97127;Rent;Apartment;;;;;;;;;;;;;;;;;Full;;"Flatsharing,Stock";;DateDesc
