"ContextId","Alias","GeoLevel","LocationAvivGeoId","LocationName","WhiteLabelUrl"
"47811","buy:agricultureforestry","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/france/ad02fr1"
"47811","buy:agricultureforestry","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/ile-de-france/ad04fr5"
"47811","buy:agricultureforestry","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/ile-de-france/paris-75/ad06fr76"
"47811","buy:agricultureforestry","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/ile-de-france/paris-75000/ad08fr31096"
"47811","buy:agricultureforestry","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"98346","buy:agricultureforestry:farmranch","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/ferme-agricole/france/ad02fr1"
"98346","buy:agricultureforestry:farmranch","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/ferme-agricole/ile-de-france/ad04fr5"
"98346","buy:agricultureforestry:farmranch","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/ferme-agricole/ile-de-france/paris-75/ad06fr76"
"98346","buy:agricultureforestry:farmranch","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/ferme-agricole/ile-de-france/paris-75000/ad08fr31096"
"98346","buy:agricultureforestry:farmranch","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/ferme-agricole/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"76264","buy:agricultureforestry:forestry","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/foret/france/ad02fr1"
"76264","buy:agricultureforestry:forestry","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/foret/ile-de-france/ad04fr5"
"76264","buy:agricultureforestry:forestry","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/foret/ile-de-france/paris-75/ad06fr76"
"76264","buy:agricultureforestry:forestry","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/foret/ile-de-france/paris-75000/ad08fr31096"
"76264","buy:agricultureforestry:forestry","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/foret/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"88135","buy:agricultureforestry:riding","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/centre-equitation/france/ad02fr1"
"88135","buy:agricultureforestry:riding","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/centre-equitation/ile-de-france/ad04fr5"
"88135","buy:agricultureforestry:riding","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/centre-equitation/ile-de-france/paris-75/ad06fr76"
"88135","buy:agricultureforestry:riding","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/centre-equitation/ile-de-france/paris-75000/ad08fr31096"
"88135","buy:agricultureforestry:riding","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/centre-equitation/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"78746","buy:agricultureforestry:winery","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/vignoble/france/ad02fr1"
"78746","buy:agricultureforestry:winery","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/vignoble/ile-de-france/ad04fr5"
"78746","buy:agricultureforestry:winery","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/vignoble/ile-de-france/paris-75/ad06fr76"
"78746","buy:agricultureforestry:winery","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/vignoble/ile-de-france/paris-75000/ad08fr31096"
"78746","buy:agricultureforestry:winery","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/terrain-agricole/vignoble/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"53434","buy:apartment","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/france/ad02fr1"
"53434","buy:apartment","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/ile-de-france/ad04fr5"
"53434","buy:apartment","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/ile-de-france/paris-75/ad06fr76"
"53434","buy:apartment","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/ile-de-france/paris-75000/ad08fr31096"
"53434","buy:apartment","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"53434","buy:apartment","Neighborhood","NBH2FR99","Goutte d'Or-Château Rouge (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/paris-75000/goutte-d-or-chateau-rouge-75018/nbh2fr99"
"18062","buy:apartment:cellar","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/cave/france/ad02fr1"
"18062","buy:apartment:cellar","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/cave/ile-de-france/ad04fr5"
"18062","buy:apartment:cellar","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/cave/ile-de-france/paris-75/ad06fr76"
"18062","buy:apartment:cellar","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/cave/ile-de-france/paris-75000/ad08fr31096"
"18062","buy:apartment:cellar","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/cave/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"54282","buy:apartment:cheap","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/pas-cher/france/ad02fr1"
"54282","buy:apartment:cheap","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/pas-cher/ile-de-france/ad04fr5"
"54282","buy:apartment:cheap","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/pas-cher/ile-de-france/paris-75/ad06fr76"
"54282","buy:apartment:cheap","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/pas-cher/ile-de-france/paris-75000/ad08fr31096"
"54282","buy:apartment:cheap","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/pas-cher/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"87249","buy:apartment:elevator","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/ascenseur/france/ad02fr1"
"87249","buy:apartment:elevator","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/ascenseur/ile-de-france/ad04fr5"
"87249","buy:apartment:elevator","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/ascenseur/ile-de-france/paris-75/ad06fr76"
"87249","buy:apartment:elevator","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/ascenseur/ile-de-france/paris-75000/ad08fr31096"
"87249","buy:apartment:elevator","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/ascenseur/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"45075","buy:apartment:garden","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/jardin/france/ad02fr1"
"45075","buy:apartment:garden","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/jardin/ile-de-france/ad04fr5"
"45075","buy:apartment:garden","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/jardin/ile-de-france/paris-75/ad06fr76"
"45075","buy:apartment:garden","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/jardin/ile-de-france/paris-75000/ad08fr31096"
"45075","buy:apartment:garden","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/jardin/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"16877","buy:apartment:groundflooronly","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/rdc/france/ad02fr1"
"16877","buy:apartment:groundflooronly","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/rdc/ile-de-france/ad04fr5"
"16877","buy:apartment:groundflooronly","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/rdc/ile-de-france/paris-75/ad06fr76"
"16877","buy:apartment:groundflooronly","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/rdc/ile-de-france/paris-75000/ad08fr31096"
"16877","buy:apartment:groundflooronly","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/rdc/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"53688","buy:apartment:investment","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/investissement/france/ad02fr1"
"53688","buy:apartment:investment","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/investissement/ile-de-france/ad04fr5"
"53688","buy:apartment:investment","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/investissement/ile-de-france/paris-75/ad06fr76"
"53688","buy:apartment:investment","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/investissement/ile-de-france/paris-75000/ad08fr31096"
"53688","buy:apartment:investment","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/investissement/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"48870","buy:apartment:lifeannuity","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/viager/france/ad02fr1"
"48870","buy:apartment:lifeannuity","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/viager/ile-de-france/ad04fr5"
"48870","buy:apartment:lifeannuity","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/viager/ile-de-france/paris-75/ad06fr76"
"48870","buy:apartment:lifeannuity","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/viager/ile-de-france/paris-75000/ad08fr31096"
"48870","buy:apartment:lifeannuity","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/viager/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"16887","buy:apartment:luxury","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/luxe/france/ad02fr1"
"16887","buy:apartment:luxury","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/luxe/ile-de-france/ad04fr5"
"16887","buy:apartment:luxury","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/luxe/ile-de-france/paris-75/ad06fr76"
"16887","buy:apartment:luxury","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/luxe/ile-de-france/paris-75000/ad08fr31096"
"16887","buy:apartment:luxury","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/luxe/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"61905","buy:apartment:newbuild","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/projet-neuf/france/ad02fr1"
"61905","buy:apartment:newbuild","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/projet-neuf/ile-de-france/ad04fr5"
"61905","buy:apartment:newbuild","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/projet-neuf/ile-de-france/paris-75/ad06fr76"
"61905","buy:apartment:newbuild","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/projet-neuf/ile-de-france/paris-75000/ad08fr31096"
"61905","buy:apartment:newbuild","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/projet-neuf/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"65227","buy:apartment:parkinggarage","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/parking-garage/france/ad02fr1"
"65227","buy:apartment:parkinggarage","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/parking-garage/ile-de-france/ad04fr5"
"65227","buy:apartment:parkinggarage","Province","AD06FR76","Paris (75)","https://www.logic-immo.com/recherche-immo/vente/appartement/parking-garage/ile-de-france/paris-75/ad06fr76"
"65227","buy:apartment:parkinggarage","Municipality","AD08FR31096","Paris (tous codes postaux)","https://www.logic-immo.com/recherche-immo/vente/appartement/parking-garage/ile-de-france/paris-75000/ad08fr31096"
"65227","buy:apartment:parkinggarage","Borough","AD09FR43","Paris 18ème arrondissement (75018)","https://www.logic-immo.com/recherche-immo/vente/appartement/parking-garage/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"91383","buy:apartment:reducedmobilityaccess","Country","AD02FR1","France","https://www.logic-immo.com/recherche-immo/vente/appartement/acces-handicape/france/ad02fr1"
"91383","buy:apartment:reducedmobilityaccess","Region","AD04FR5","Ile-de-France","https://www.logic-immo.com/recherche-immo/vente/appartement/acces-handicape/ile-de-france/ad04fr5"
