ID,Alias,DistributionType,EstateType,EstateSubType,NumberOfRooms,NumberOfBedrooms,Price,Feature,OpenedLevels,IsWhiteLabelOnly,CustomUrl,GeminiIconName,RedirectContextId,RedirectActivated
47811,buy:agricultureforestry,Buy,Agriculture_Forestry,,,,,,200|400|600|800|900,true,,,,
98346,buy:agricultureforestry:farmranch,Buy,Agriculture_Forestry,Farm_Ranch,,,,,200:2026-04-11|400:2026-04-11|500:2026-04-11|600:2026-04-11|800:2026-04-11|900:2026-04-11,true,,,,
76264,buy:agricultureforestry:forestry,Buy,Agriculture_Forestry,Forestry,,,,,200:2026-04-11|400:2026-04-11|500:2026-04-11|600:2026-04-11|800:2026-04-11|900:2026-04-11,true,,,,
88135,buy:agricultureforestry:riding,Buy,Agriculture_Forestry,Riding,,,,,200:2026-04-11|400:2026-04-11|500:2026-04-11|600:2026-04-11|800:2026-04-11|900:2026-04-11,true,,,,
78746,buy:agricultureforestry:winery,Buy,Agriculture_Forestry,Winery,,,,,200:2026-04-11|400:2026-04-11|500:2026-04-11|600:2026-04-11|800:2026-04-11|900:2026-04-11,true,,,,
90698,buy:apartment,Buy,Apartment,,,,,,200|400|600|800|900|1000|1100,,,CityIcon,,
30575,buy:apartment:balcony,Buy,Apartment,,,,,Balcony,200|400|600|800|900,,,BalconyIcon,,
15574,buy:apartment:cellar,Buy,Apartment,,,,,Cellar,200|400|600|800|900,,,,,
20697,buy:apartment:cheap,Buy,Apartment,,,,,Cheap,200|400|600|800|900,,,EuroSignIcon,,
77483,buy:apartment:elevator,Buy,Apartment,,,,,Elevator,200|400|600|800|900,,,,,
63922,buy:apartment:garden,Buy,Apartment,,,,,Garden,200|400|600|800|900,,,,,
76488,buy:apartment:investment,Buy,Apartment,,,,,Investment,200|400|600|800|900,,,,,
26702,buy:apartment:luxury,Buy,Apartment,,,,,Luxury,200|400|600|800|900,,"recherche/achat/appartement/prestige",,,
88066,buy:apartment:newbuild,Buy,Apartment,,,,,New_Build,200:2027-01-10|400|600|800|900,,,,,
70107,buy:apartment:parkinggarage,Buy,Apartment,,,,,Parking_Garage,200|400|600|800|900,,,,,
54221,buy:apartment:privateseller,Buy,Apartment,,,,,Private_Seller,200:2027-01-10|400|600|800|900,,,,,
91952,buy:apartment:reducedmobilityaccess,Buy,Apartment,,,,,Reduced_Mobility_Access,200|400|600|800|900,,,,,
56752,buy:apartment:roofstoreyonly,Buy,Apartment,,,,,Roof_Storey_Only,200|400|600|800|900,,,HouseDayIcon,,
98041,buy:apartment:seaside,Buy,Apartment,,,,,SeaSide,200|400|600|800|900,,,SeaViewIcon,,
11518,buy:apartment:swimmingpool,Buy,Apartment,,,,,Swimming_Pool,200|400|600|800|900,,,,,
83067,buy:apartment:torenovate,Buy,Apartment,,,,,To_Renovate,200|400|600|800|900,,,HammerIcon,,
28653,buy:apartment:bedrooms-1,Buy,Apartment,,,1,,,200|400|600|800|900,,,OneIcon,,
93589,buy:apartment:bedrooms-2,Buy,Apartment,,,2,,,200|400|600|800|900,,,,,
28365,buy:apartment:bedrooms-3,Buy,Apartment,,,3,,,200|400|600|800|900,,,,,
