ContextId,GeoLevel,LegacyUrlPattern,ExampleUrl
10014,Borough,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/
10014,Country,/immobilier/pays/achat/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/vienne.htm
10014,MicroRegion,/immobilier/achat/,https://www.seloger.com/immobilier/achat/
10014,Municipality,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/
10014,Province,/immobilier/achat/{code}/,https://www.seloger.com/immobilier/achat/89/
10014,Region,/immobilier/achat/{match1}.htm,https://www.seloger.com/immobilier/achat/bourgogne.htm
10718,Borough,/immobilier/i/achat/immo-{match2}/bien-terrain/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-terrain/commodite-pascher/
10718,Country,/immobilier/pays/i/achat/bien-terrain/{match2}/commodite-pascher/,https://www.seloger.com/immobilier/pays/i/achat/bien-terrain/vienne/commodite-pascher/
10718,Municipality,/immobilier/i/achat/immo-{match2}/bien-terrain/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/immo-malakoff-92/bien-terrain/commodite-pascher/
10718,Province,/immobilier/i/achat/{code}/bien-terrain/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/89/bien-terrain/commodite-pascher/
10718,Region,/immobilier/i/achat/bien-terrain/{match1}/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/bien-terrain/bourgogne/commodite-pascher/
11518,Borough,/immobilier/i/achat/immo-{match2}/bien-appartement/commodite-piscine/,https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-appartement/commodite-piscine/
11518,Country,/immobilier/pays/i/achat/bien-appartement/{match2}/commodite-piscine/,https://www.seloger.com/immobilier/pays/i/achat/bien-appartement/vienne/commodite-piscine/
11518,Municipality,/immobilier/i/achat/immo-{match2}/bien-appartement/commodite-piscine/,https://www.seloger.com/immobilier/i/achat/immo-malakoff-92/bien-appartement/commodite-piscine/
11518,Province,/immobilier/i/achat/{code}/bien-appartement/commodite-piscine/,https://www.seloger.com/immobilier/i/achat/89/bien-appartement/commodite-piscine/
11518,Region,/immobilier/i/achat/bien-appartement/{match1}/commodite-piscine/,https://www.seloger.com/immobilier/i/achat/bien-appartement/bourgogne/commodite-piscine/
11567,Borough,/immobilier/i/locations/immo-{match2}/bien-maison/commodite-parking/,https://www.seloger.com/immobilier/i/locations/immo-paris-18eme-75/bien-maison/commodite-parking/
11567,Country,/immobilier/pays/i/locations/bien-maison/{match2}/commodite-parking/,https://www.seloger.com/immobilier/pays/i/locations/bien-maison/vienne/commodite-parking/
11567,Municipality,/immobilier/i/locations/immo-{match2}/bien-maison/commodite-parking/,https://www.seloger.com/immobilier/i/locations/immo-malakoff-92/bien-maison/commodite-parking/
11567,Province,/immobilier/i/locations/{code}/bien-maison/commodite-parking/,https://www.seloger.com/immobilier/i/locations/89/bien-maison/commodite-parking/
11567,Region,/immobilier/i/locations/bien-maison/{match1}/commodite-parking/,https://www.seloger.com/immobilier/i/locations/bien-maison/bourgogne/commodite-parking/
12590,Borough,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/
12590,Country,/immobilier/pays/achat/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/vienne.htm
12590,MicroRegion,/immobilier/achat/,https://www.seloger.com/immobilier/achat/
12590,Municipality,/immobilier/achat/immo-{match2}/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/
12590,Province,/immobilier/achat/{code}/,https://www.seloger.com/immobilier/achat/89/
