ID;DistributionTypes;EstateTypes;EstateSubTypes;ClassifiedBusiness;NumberOfRoomsMin;NumberOfRoomsMax;NumberOfBedroomsMin;NumberOfBedroomsMax;PriceMin;PriceMax;YearOfConstructionMin;YearOfConstructionMax;CertificateOfEligibilityNeeded;IsSaleGoodwill;FeaturesIncluded;BuildStates;LocationsInBuildingIncluded;LocationsInBuildingExcluded;Furnished;ProjectTypes;HiddenProjectTypes;EnergyCertificateClass;PagingOrder
18867;Buy;Apartment;;;2;2;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;PriceAsc
87996;Rent;;;Private;;;;;;;;;;;;;;;;;;;Default
28653;Buy;Apartment;;;;;1;1;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;Default
22959;;;;;;;;;;;;;;;;;;;;;;;Default
81926;Buy;Apartment;Multi_Storey;;;;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;Default
24693;Buy;Apartment;;;;;4;4;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;Default
81323;Rent;Apartment;;;1;1;;;;;;;;;;;;;;;"Flatsharing,Stock";;PriceAsc
76264;Buy;Agriculture_Forestry;Forestry;;;;;;;;;;;;;;;;;;;;Default
64545;Buy;House;;;;;;;;;;;;;Seaside;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
90698;Buy;Apartment;;;;;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;Default
30575;Buy;Apartment;;;;;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Resale,Life_Annuity";;Default
84069;Buy;Building;;;;;;;;;;;;;;;;;;;"New_Build,Resale";;Default
83067;Buy;Apartment;;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;Default
84070;Buy;Building;;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale";;Default
21489;Buy;House;Mansion;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;Default
24289;Buy;House;Bungalow;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;Default
59390;Buy;House;Farmhouse;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;Default
93227;Buy;House;Villa;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;Default
11518;Buy;Apartment;;;;;;;;;;;;;Swimming_Pool;;;;;;"New_Build,Resale,Life_Annuity";;Default
18987;Rent;House;Town_House;;;;;;;;;;;;;;;;;;;;Default
15812;Rent;House;;;5;5;;;;;;;;;;;;;;;;;Default
26042;Buy;House;Farmhouse;;;;;;;;;;;;;;;;;;"New_Build,Projected,Resale,Life_Annuity";;PriceAsc
41219;Buy;House;;;;;;;;;;;;;Garden;;;;;;"New_Build,Projected,Resale,Life_Annuity";;Default
43362;Rent;Gastronomy_Hotel;Cafe_Bar_Pub;;;;;;;;;;;;;;;;;;;;Default
